,GEO_ID,NAME,percentage_only_cell_data_plan,percentage_with_computer,percentage_with_computer_and_broadband,percentage_no_vehicle,percentage_public_transportation,percentage_walked,percentage_wfh,percentage_in_labor_pool,percentage_in_same_house_17_and_under,percentage_rent_above_50,percentage_snap,percentage_ssi,percentage_poverty
73,1400000US36067011202,Census Tract 112.02; Onondaga County; New York,0.06690349319123742,0.9680493273542601,0.9669947886508397,0.020096111839231105,0.0,0.0,0.06815203145478375,0.7017744705208929,0.9778357235984355,0.4028169014084507,0.021300448430493273,0.17647058823529413,0.03865546218487395
74,1400000US36067011231,Census Tract 112.31; Onondaga County; New York,0.09430496019595835,0.990909090909091,0.9329128440366973,0.0,0.008133755083596927,0.0,0.09805693628558518,0.6514701915295387,0.9768339768339769,0.11538461538461539,0.09602272727272727,0.1758139534883721,0.08725425226419262
75,1400000US36067011232,Census Tract 112.32; Onondaga County; New York,0.0640945861854387,0.9598438371444507,0.9169087739686229,0.0,0.0,0.0,0.17445482866043613,0.673469387755102,0.9852941176470589,0.24722222222222223,0.04071388733965421,0.013856812933025405,0.04592074592074592
76,1400000US36067011241,Census Tract 112.41; Onondaga County; New York,0.07390817469204927,0.987750556792873,1.0,0.0,0.004051863857374392,0.0,0.08022690437601297,0.6469689251146205,0.9561243144424132,0.0,0.015590200445434299,0.03935599284436494,0.014784394250513347
77,1400000US36067011242,Census Tract 112.42; Onondaga County; New York,0.03139427516158818,1.0,0.9618117229129662,0.01370262390670554,0.0,0.0,0.1032069970845481,0.7787481804949054,0.9721342621912603,0.0,0.09147424511545293,0.2249844623990056,0.018500486854917234
78,1400000US36067011300,Census Tract 113; Onondaga County; New York,0.11191335740072202,0.9755813953488373,0.9904648390941597,0.039356749894202285,0.0,0.0,0.11299195937367752,0.7224334600760456,0.920265780730897,0.09683426443202979,0.03313953488372093,0.04093567251461988,0.03040877367896311
79,1400000US36067011401,Census Tract 114.01; Onondaga County; New York,0.07876073161627473,0.9675973802137194,0.948699679372996,0.02048835251192815,0.007858546168958742,0.0,0.1383665450463093,0.6543794979813937,0.9534313725490197,0.3480825958702065,0.08445363667700793,0.2199641362821279,0.056523586910327245
80,1400000US36067011402,Census Tract 114.02; Onondaga County; New York,0.10688140556368961,0.9666221628838452,0.9433701657458563,0.03650385604113111,0.0,0.006683804627249357,0.10077120822622108,0.6276239732278673,0.9685393258426966,0.05511811023622047,0.05941255006675567,0.18240343347639484,0.0686985970004838
81,1400000US36067011500,Census Tract 115; Onondaga County; New York,0.10270498732037193,0.9569358178053831,1.0,0.039100684261974585,0.0,0.0,0.07494297816878462,0.6697924980047885,0.8882870683818551,0.33980582524271846,0.06376811594202898,0.09170854271356783,0.05528922978587408
82,1400000US36067011600,Census Tract 116; Onondaga County; New York,0.0436817472698908,0.96435546875,0.9549367088607595,0.019308943089430895,0.0,0.0,0.14600271002710027,0.7503496503496504,0.8667724028548771,0.2026266416510319,0.09228515625,0.08526551982049364,0.045198765656198944
83,1400000US36067011700,Census Tract 117; Onondaga County; New York,0.10821998817267889,0.9045275590551181,0.9145810663764962,0.0,0.0,0.018734177215189874,0.17772151898734176,0.570464135021097,0.8094688221709007,0.17281553398058253,0.17618110236220472,0.175,0.12296023902551138
84,1400000US36067011800,Census Tract 118; Onondaga County; New York,0.15232292460015232,0.9526149526149527,0.9605747973470892,0.05318404478656403,0.010146955913226032,0.0,0.10076976906927922,0.6208651399491094,0.7440191387559809,0.15631691648822268,0.10810810810810811,0.2910112359550562,0.10015123508654007
85,1400000US36067011900,Census Tract 119; Onondaga County; New York,0.10464201416207711,0.9587988826815642,0.9257101238164603,0.016592920353982302,0.0,0.0022123893805309734,0.07079646017699115,0.6423975618015577,0.963220675944334,0.08823529411764706,0.055167597765363126,0.3168604651162791,0.023721665788086453
86,1400000US36067012000,Census Tract 120; Onondaga County; New York,0.11142721669037459,0.9382120946538125,0.9617001401214386,0.013621794871794872,0.001201923076923077,0.01282051282051282,0.05488782051282051,0.5991514068780706,0.8466135458167331,0.25753424657534246,0.14329535495179668,0.24543795620437955,0.14461143695014664
87,1400000US36067012100,Census Tract 121; Onondaga County; New York,0.12177985948477751,0.9447818884594147,0.9935710111046172,0.002517834662190516,0.0,0.009651699538396978,0.07259756609315988,0.664490861618799,0.9894419306184012,0.02564102564102564,0.020982882385422418,0.024372230428360415,0.0646403242147923
88,1400000US36067012200,Census Tract 122; Onondaga County; New York,0.0875,0.9017857142857143,0.8415841584158416,0.06721311475409836,0.013114754098360656,0.0,0.07377049180327869,0.6208530805687204,0.8198757763975155,0.14195583596214512,0.18601190476190477,0.4021164021164021,0.12175324675324675
89,1400000US36067012300,Census Tract 123; Onondaga County; New York,0.13709677419354838,0.9159722222222222,0.9620924943138741,0.01189801699716714,0.0073654390934844195,0.0,0.07252124645892351,0.6489007328447701,0.7807228915662651,0.1308016877637131,0.02638888888888889,0.03494926719278467,0.028548559231590182
90,1400000US36067012400,Census Tract 124; Onondaga County; New York,0.042105263157894736,0.9210910862152947,0.8989952406134321,0.0056947608200455585,0.0,0.01082004555808656,0.06548974943052392,0.5195749440715883,0.8707940780619112,0.5464098073555166,0.138334145153434,0.10307898259705489,0.13069259962049337
91,1400000US36067012500,Census Tract 125; Onondaga County; New York,0.13036437246963561,0.898840206185567,0.8759856630824373,0.024363233665559248,0.0,0.01273532668881506,0.07807308970099668,0.6454759502186344,0.9569672131147541,0.1047008547008547,0.11275773195876289,0.27454242928452577,0.11432664756446992
92,1400000US36067012600,Census Tract 126; Onondaga County; New York,0.09056192034915439,0.9246676514032496,0.9760383386581469,0.015817223198594025,0.00773286467486819,0.0,0.08506151142355009,0.6945927129264331,0.970988213961922,0.13414634146341464,0.08419497784342689,0.11317704122877931,0.029373729909477186
93,1400000US36067012700,Census Tract 127; Onondaga County; New York,0.0467706013363029,0.9568706118355065,0.9329140461215933,0.0,0.01780693533270853,0.0,0.08341143392689784,0.6286341195831048,0.9751552795031055,0.1990521327014218,0.04513540621865597,0.2398843930635838,0.09836065573770492
94,1400000US36067012800,Census Tract 128; Onondaga County; New York,0.1551270815074496,0.9084451460142068,0.9756733275412685,0.005405405405405406,0.010135135135135136,0.0,0.05067567567567568,0.6424720033181253,0.9586956521739131,0.2693877551020408,0.07813733228097869,0.22727272727272727,0.03058321479374111
95,1400000US36067012900,Census Tract 129; Onondaga County; New York,0.17361894024802707,0.9316888045540797,0.8808553971486762,0.15,0.014130434782608696,0.016304347826086956,0.04782608695652174,0.6114318706697459,0.7912772585669782,0.1531413612565445,0.3178368121442125,0.450920245398773,0.13020833333333334
96,1400000US36067013000,Census Tract 130; Onondaga County; New York,0.12837837837837837,0.9165337586390218,0.9309744779582366,0.09099181073703366,0.052775250227479524,0.01637852593266606,0.03867151956323931,0.6555969081019182,0.9782051282051282,0.1953551912568306,0.1541733120680489,0.16147635524798154,0.1429235417150825
97,1400000US36067013100,Census Tract 131; Onondaga County; New York,0.07562008469449485,0.9058319957196361,0.9663319551092735,0.01116504854368932,0.006310679611650485,0.0,0.09902912621359224,0.6185804962492787,0.9495798319327731,0.14754098360655737,0.02247191011235955,0.026892430278884463,0.023451730418943533
98,1400000US36067013200,Census Tract 132; Onondaga County; New York,0.1398148148148148,0.9205409974640744,0.9715335169880625,0.0,0.0,0.006484149855907781,0.14697406340057637,0.5675471698113208,0.9763636363636363,0.3233082706766917,0.15469146238377007,0.14010507880910683,0.06243567753001715
99,1400000US36067013300,Census Tract 133; Onondaga County; New York,0.05855855855855856,0.9069767441860465,0.8678500986193294,0.0369702434625789,0.0036068530207394047,0.02164111812443643,0.1478809738503156,0.5912110373019929,0.9473684210526315,0.2881773399014778,0.08676207513416816,0.31565656565656564,0.14242814242814242
100,1400000US36067013400,Census Tract 134; Onondaga County; New York,0.07572280862781092,0.9786163522012579,0.9280205655526992,0.005031446540880503,0.00440251572327044,0.01509433962264151,0.11949685534591195,0.7045454545454546,0.953125,0.2546916890080429,0.010062893081761006,0.0,0.07709210767258744
101,1400000US36067013500,Census Tract 135; Onondaga County; New York,0.061291843470061294,0.9624697336561744,0.889308176100629,0.04127224536160545,0.0,0.005301022340022719,0.10488451344187807,0.6510278113663845,0.8976215098241985,0.1524008350730689,0.05004035512510089,0.045454545454545456,0.047244094488188976
102,1400000US36067013600,Census Tract 136; Onondaga County; New York,0.06397058823529411,0.9682436811406351,0.9056224899598394,0.045274476513865305,0.025466893039049237,0.015280135823429542,0.08885116015846067,0.7266566265060241,0.95929203539823,0.2116788321167883,0.11600777705767984,0.3896321070234114,0.18398268398268397
103,1400000US36067013701,Census Tract 137.01; Onondaga County; New York,0.1445852534562212,0.87468671679198,0.9512893982808023,0.0715042372881356,0.0,0.034427966101694914,0.03389830508474576,0.5527058220056424,0.8673469387755102,0.19472913616398244,0.07067669172932331,0.209165687426557,0.05336527989544761
104,1400000US36067013800,Census Tract 138; Onondaga County; New York,0.08610086100861009,0.9303135888501742,1.0,0.0074866310160427805,0.0074866310160427805,0.0,0.11229946524064172,0.5652680652680653,0.8961038961038961,0.47619047619047616,0.06852497096399536,0.053268765133171914,0.11339198435972629
105,1400000US36067013900,Census Tract 139; Onondaga County; New York,0.15701559020044542,0.942495126705653,0.9141675284384695,0.01391941391941392,0.0,0.0,0.08278388278388278,0.7136317395727365,0.808066759388039,0.16292134831460675,0.22319688109161792,0.44645340751043117,0.10969196093163035
106,1400000US36067014000,Census Tract 140; Onondaga County; New York,0.12273120138288678,0.9222303741746148,0.8957836117740652,0.01709873138444567,0.009928295642581356,0.03474903474903475,0.07225592939878654,0.7275735294117647,0.685337726523888,0.15898617511520738,0.11958914159941306,0.35914332784184516,0.08574916081782118
107,1400000US36067014200,Census Tract 142; Onondaga County; New York,0.07177322074788903,0.9456579648375066,0.9194366197183098,0.0,0.012037449843958983,0.029870708872046365,0.07891217119928667,0.7144508670520231,0.8707983193277311,0.27979274611398963,0.19659030367607885,0.4595375722543353,0.1806378132118451
108,1400000US36067014300,Census Tract 143; Onondaga County; New York,0.09233791748526522,0.8456090651558074,0.8525963149078727,0.06418092909535453,0.02078239608801956,0.040342298288508556,0.07946210268948656,0.6359223300970874,0.7763157894736842,0.14831981460023175,0.19830028328611898,0.372,0.10236220472440945
109,1400000US36067014400,Census Tract 144; Onondaga County; New York,0.17852834740651388,0.9018538713195202,0.9770253929866989,0.025565388397246803,0.0,0.0029498525073746312,0.012782694198623401,0.6765060240963855,1.0,0.0,0.17448200654307525,0.48552338530066813,0.12404287901990811
